Autor.id,TEMAS
EXPEDITO NETTO_RO,"saúde, atendimentos, mucuriba"
FABIO REIS_SE,religião
FAUSTO PINATO_SP,"infraestrutura, elétrica, calçados"
FELIPE BORNIER_RJ,"autismo, esporte, jiujitsu, massagueira"
FELIPE MAIA_RN,"construção, meiofios, calçados"
FERNANDO COELHO FILHO_PE,agroturismo
FERNANDO FRANCISCHINI_PR,"mananciais, máquinas, escavadeiras"
FERNANDO JORD�O_RJ,"política, agricultura"
FERNANDO TORRES_BA,"mananciais, máquinas, escavadeiras"
FLAVIANO MELO_AC,"saúde, atendimentos, mucuriba"
FL�VIA MORAIS_GO,educação
FRANCISCO CHAPADINHA_PA,agroturismo
FRANCISCO FLORIANO_RJ,"saúde, atendimentos, mucuriba"
F�BIO FARIA_RN,"mananciais, máquinas, escavadeiras"
F�BIO RAMALHO_MG,agroturismo
F�BIO SOUSA_GO,"construção, meiofios, calçados"
F�LIX MENDON�A J�NIOR_BA,''
GABRIEL GUIMAR�ES_MG,agroturismo
GENECIAS NORONHA_CE,"construção, meiofios, calçados"
GEOVANIA DE S�_SC,esporte
GERALDO RESENDE_MS,"autismo, esporte, jiujitsu, massagueira"
GIACOBO_PR,"mananciais, máquinas, escavadeiras"
GIOVANI CHERINI_RS,"esporte, arquitetura e autismo"
GIUSEPPE VECCI_GO,"fenaporto, mucuri, pirapó"
GIVALDO CARIMB�O_AL,"autismo, esporte, jiujitsu, massagueira"
GLAUBER BRAGA_RJ,"construção, meiofios, calçados"
GONZAGA PATRIOTA_PE,''
GORETE PEREIRA_CE,educação
GUILHERME MUSSI_SP,esporte
HELDER SALOM�O_ES,"mananciais, máquinas, escavadeiras"
HENRIQUE FONTANA_RS,"saúde, atendimentos, mucuriba"
HERCULANO PASSOS_SP,"educação, esporte"
HERMES PARCIANELLO_PR,"autismo, esporte, jiujitsu, massagueira"
HEULER CRUVINEL_GO,"política, agricultura"
HIRAN GON�ALVES_RR,"fenaporto, mucuri, pirapó"
HUGO LEAL_RJ,"polícia, religião"
HUGO MOTTA_PB,''
H�LIO LEITE_PA,"infraestrutura, elétrica, calçados"
IRACEMA PORTELLA_PI,agroturismo
IRAJ� ABREU_TO,"esporte, arquitetura e autismo"
IRM�O LAZARO_BA,"energia, construção, infraestrutura, autismo"
IVAN VALENTE_SP,"saúde, atendimentos, mucuriba"
IZALCI_DF,"construção, meiofios, calçados"
JAIME MARTINS_MG,"autismo, esporte, educação"
JAIR BOLSONARO_RJ,"construção, meiofios, calçados"
JANDIRA FEGHALI_RJ,"saúde, atendimentos, mucuriba"
JANETE CAPIBERIBE_AP,''
JEAN WYLLYS_RJ,"autismo, esporte, educação"
JEFFERSON CAMPOS_SP,"construção, meiofios, calçados"
JER�NIMO GOERGEN_RS,"construção, meiofios, calçados"
JHC_AL,"fenaporto, mucuri, pirapó"
JHONATAN DE JESUS_RR,"saúde, atendimentos, mucuriba"
JOAQUIM PASSARINHO_PA,"polícia, religião"
JORGE C�RTE REAL_PE,''
JORGE TADEU MUDALEN_SP,"construção, meiofios, calçados"
JORGINHO MELLO_SC,"construção, meiofios, calçados"
JOSE ST�DILE_RS,"educação, esporte"
JOSU� BENGTSON_PA,''
JOS� AIRTON CIRILO_CE,"saúde, itapiranga, calçados"
JOS� CARLOS ALELUIA_BA,esporte
JOS� CARLOS ARA�JO_BA,"saúde, itapiranga, calçados"
JOS� GUIMAR�ES_CE,"polícia, religião"
JOS� MENTOR_SP,esporte
JOS� NUNES_BA,"educação, esporte"
JOS� OT�VIO GERMANO_RS,"energia, construção, infraestrutura, autismo"
JOS� PRIANTE_PA,"construção, meiofios, calçados"
JOS� REINALDO_MA,"saúde, itapiranga, calçados"
JOS� ROCHA_BA,"mananciais, máquinas, escavadeiras"
JOVAIR ARANTES_GO,"construção, meiofios, calçados"
JO�O ARRUDA_PR,"construção, meiofios, calçados"
JO�O CAMPOS_GO,"educação, esporte"
JO�O CARLOS BACELAR_BA,"construção, meiofios, calçados"
JO�O DANIEL_SE,educação
JO�O DERLY_RS,"saúde, itapiranga, calçados"
JO�O RODRIGUES_SC,"saúde, atendimentos, mucuriba"
JULIO LOPES_RJ,"construção, meiofios, calçados"
JUTAHY JUNIOR_BA,"construção, meiofios, calçados"
J�SSICA SALES_AC,"construção, meiofios, calçados"
J� MORAES_MG,"autismo, esporte, educação"
J�LIO CESAR_PI,"saúde, atendimentos, mucuriba"
J�LIO DELGADO_MG,"esporte, arquitetura e autismo"
KEIKO OTA_SP,"construção, meiofios, calçados"
LAERCIO OLIVEIRA_SE,"construção, meiofios, calçados"
LAERTE BESSA_DF,"mananciais, máquinas, escavadeiras"
LEANDRE_PR,''
LELO COIMBRA_ES,"saúde, atendimentos, mucuriba"
LEO DE BRITO_AC,"fenaporto, mucuri, pirapó"
LEONARDO MONTEIRO_MG,"polícia, religião"
LEONARDO PICCIANI_RJ,"construção, meiofios, calçados"
LEONARDO QUINT�O_MG,"saúde, atendimentos, mucuriba"
LEOPOLDO MEYER_PR,"saúde, atendimentos, mucuriba"
LINCOLN PORTELA_MG,religião
LINDOMAR GAR�ON_RO,"saúde, atendimentos, mucuriba"
LUCIANA SANTOS_PE,"polícia, religião"
LUCIO MOSQUINI_RO,"construção, meiofios, calçados"
LUCIO VIEIRA LIMA_BA,religião
LUIS CARLOS HEINZE_RS,educação
LUIS TIB�_MG,"construção, meiofios, calçados"
LUIZ CARLOS BUSATO_RS,"saúde, atendimentos, mucuriba"
LUIZ CARLOS HAULY_PR,portos
LUIZ CL�UDIO_RO,"construção, meiofios, calçados"
LUIZ COUTO_PB,"polícia, religião"
LUIZ FERNANDO FARIA_MG,religião
LUIZ NISHIMORI_PR,"fenaporto, mucuri, pirapó"
LUIZ S�RGIO_RJ,"educação, esporte"
LUIZA ERUNDINA_SP,"construção, meiofios, calçados"
L�ZARO BOTELHO_TO,"construção, meiofios, calçados"
L�CIO VALE_PA,"energia, construção, infraestrutura, autismo"
MAGDA MOFATTO_GO,"saúde, itapiranga, calçados"
MAINHA_PI,''
MANDETTA_MS,"energia, construção, infraestrutura, autismo"
MANOEL JUNIOR_PB,"mananciais, máquinas, escavadeiras"
MARA GABRILLI_SP,"infraestrutura, elétrica, calçados"
MARCELO ARO_MG,"construção, meiofios, calçados"
MARCELO MATOS_RJ,"saúde, atendimentos, mucuriba"
MARCELO �LVARO ANT�NIO_MG,"política, agricultura"
MARCIO ALVINO_SP,"saúde, atendimentos, mucuriba"
MARCO ANT�NIO CABRAL_RJ,"saúde, atendimentos, mucuriba"
MARCO MAIA_RS,"polícia, religião"
MARCO TEBALDI_SC,"fenaporto, mucuri, pirapó"
MARCON_RS,"educação, esporte"
MARCOS MONTES_MG,"fenaporto, mucuri, pirapó"
MARCOS REATEGUI_AP,"fenaporto, mucuri, pirapó"
MARCOS ROG�RIO_RO,"saúde, itapiranga, calçados"
MARCOS ROTTA_AM,religião
MARCUS PESTANA_MG,"polícia, religião"
MARGARIDA SALOM�O_MG,"fenaporto, mucuri, pirapó"
MARIA DO ROS�RIO_RS,''
MARIANA CARVALHO_RO,''
MARINHA RAUPP_RO,religião
MARX BELTR�O_AL,"autismo, esporte, jiujitsu, massagueira"
MAURO LOPES_MG,"saúde, itapiranga, calçados"
MAURO MARIANI_SC,"fenaporto, mucuri, pirapó"
MAUR�CIO QUINTELLA LESSA_AL,"educação, esporte"
MENDON�A FILHO_PE,"mananciais, máquinas, escavadeiras"
MILTON MONTI_SP,"infraestrutura, elétrica, calçados"
MIRO TEIXEIRA_RJ,"política, agricultura"
MISSION�RIO JOS� OLIMPIO_SP,"construção, meiofios, calçados"
MOEMA GRAMACHO_BA,''
MOSES RODRIGUES_CE,''
M�RCIO MARINHO_BA,esporte
M�RIO HERINGER_MG,"construção, meiofios, calçados"
M�RIO NEGROMONTE JR._BA,''
NELSON MARCHEZAN JUNIOR_RS,"saúde, itapiranga, calçados"
NELSON MARQUEZELLI_SP,"fenaporto, mucuri, pirapó"
NELSON MEURER_PR,"construção, meiofios, calçados"
NEWTON CARDOSO JR_MG,"esporte, arquitetura e autismo"
NILSON LEIT�O_MT,"saúde, itapiranga, calçados"
NILSON PINTO_PA,"fenaporto, mucuri, pirapó"
NILTO TATTO_SP,"saúde, itapiranga, calçados"
