deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Alice Portugal,3      ,5,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,5,3      ,3      ,3      ,3      ,0            ,3      ,3      ,0            ,0            ,0            ,3      ,0            
Aliel Machado,5,5,5,3      ,3      ,3      ,5,5,5,0            ,3      ,1            ,0            ,5,1            ,1            ,3      ,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Altineu Côrtes,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Aluisio Mendes,5,5,1            ,0            ,0            ,0            ,5,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,5,1            ,1            ,1            ,1            
Ana Perugini,3      ,3      ,3      ,3      ,3      ,3      ,5,3      ,3      ,0            ,5,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,5,5,5,5,5,5,5,5,5,5,5,5,5
Anderson Ferreira,5,5,5,5,5,5,0            ,5,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5
Andre Moura,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,5,0            ,1            ,0            ,5,0            ,1            ,0            ,0            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Andres Sanchez,3      ,3      ,3      ,5,3      ,3      ,5,5,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,5,5,5,5,5
André Abdon,5,5,5,5,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,5,0            ,1            ,5,5,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
André Amaral,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,5,1            ,0            ,5,5,1            ,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
André Figueiredo,3      ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,0            ,5,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,0            ,3      ,0            
André Fufuca,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,5,5,0            ,0            ,1            ,0            ,1            ,0            ,5,1            ,1            ,1            ,1            ,1            
André de Paula,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Angela Albino,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,5,3      ,5,0            ,3      ,3      ,3      ,0            ,0            ,5,0            
Angelim,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,3      ,0            ,0            ,0            ,0            
Antonio Brito,5,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,1            ,1            ,5,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,0            
Antonio Bulhões,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Antonio Carlos Mendes Thame,1            ,0            ,1            ,5,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Antonio Imbassahy,1            ,0            ,1            ,0            ,0            ,0            ,0            ,5,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
